1. What is your age ?,,,2.   What is your gender ?,,,3.  What is your current occupation ?,,, 4. What is the location of your current residence ?,,,5. How many years have you been working in your current position ?,,5. How many years have you been working in your current position ? [Feedback], 6. What is your average weekly working hours ?,, 6. What is your average weekly working hours ? [Feedback],7.  Does BHU provide accommodation/rooms for you as an employee ?,,,8.  Do you engage in any form of physical activity ?,,8.  Do you engage in any form of physical activity ? [Feedback],"9.  If yes , please specify the types of physical activity you engage in ",,"9.  If yes , please specify the types of physical activity you engage in  [Feedback]",,,PSS SCORE ,stress level ,"For each question choose  from the following alternatives 

0-Never , 1- Almost never , 2- Sometimes , 3-Fairly often , 4-Very often  [1.  In the last month , how often have you been upset because of something that happened unexpectedly ?]",,"For each question choose  from the following alternatives 

0-Never , 1- Almost never , 2- Sometimes , 3-Fairly often , 4-Very often  [2.  In the last month , how often have you felt that you were unable to control the important things in your life ?]",,"For each question choose  from the following alternatives 

0-Never , 1- Almost never , 2- Sometimes , 3-Fairly often , 4-Very often  [3.  In the last month , how often have you felt nervous and stressed ?]",,"For each question choose  from the following alternatives 

0-Never , 1- Almost never , 2- Sometimes , 3-Fairly often , 4-Very often  [4.  In the last month , how often have you felt confident about your ability to handle your personal problems ?]",,"For each question choose  from the following alternatives 

0-Never , 1- Almost never , 2- Sometimes , 3-Fairly often , 4-Very often  [5.  In the last month , how often have you  felt that things were going your way ? ]",,"For each question choose  from the following alternatives 

0-Never , 1- Almost never , 2- Sometimes , 3-Fairly often , 4-Very often  [6.  In the last month , how often have you found that you could not cope with all the things that you had to do ?]",,"For each question choose  from the following alternatives 

0-Never , 1- Almost never , 2- Sometimes , 3-Fairly often , 4-Very often  [7.  In the last month , how often have you been able to control irritations in your life ]",,"For each question choose  from the following alternatives 

0-Never , 1- Almost never , 2- Sometimes , 3-Fairly often , 4-Very often  [8.  In the last month , how often have you felt that you were on top of things ?]",,"For each question choose  from the following alternatives 

0-Never , 1- Almost never , 2- Sometimes , 3-Fairly often , 4-Very often  [9.  In the last month , how often have you been angered because of things that happened that were outside of your control ?]",,"For each question choose  from the following alternatives 

0-Never , 1- Almost never , 2- Sometimes , 3-Fairly often , 4-Very often  [10.In the last month , how often have you felt difficulties were pilling up so high that you could not overcome them ?]"
30-40,,,Male,,,Teaching,,,Urban,,,6-10 years,,,30 -35 hours,,,Yes,,,No,,,,,,,,17,MODERATE ,2,,3,,3,,2,,2,,2,,2,,2,,2,,1
more than 50,,,Male,,,Teaching,,,Urban,,,more than 10 years,,,30 -35 hours,,,Yes,,,No,,,,,,,,28,HIGH,0,,3,,1,,2,,2,,1,,0,,2,,1,,1
Less than 30,,,Female,,,Non- teaching,,,Rural,,,3-5 years,,,35-40 hours,,,Yes,,,Yes,,,Gym workouts,,,,,22,MODERATE ,2,,0,,1,,1,,2,,1,,3,,0,,1,,3
30-40,,,Female,,,Non- teaching,,,Rural,,,3-5 years,,,Less than 25 hours,,,No,,,No,,,,,,,,23,MODERATE ,2,,1,,2,,2,,2,,1,,2,,1,,2,,3
40-50,,,Male,,,Teaching,,,Urban,,,3-5 years,,,35-40 hours,,,Yes,,,Yes,,,Walking;Yoga,,,,,13,LOW,0,,1,,1,,2,,3,,3,,3,,2,,1,,3
30-40,,,Female,,,Non- teaching,,,Rural,,,3-5 years,,,35-40 hours,,,No,,,Yes,,,Walking;Yoga,,,,,8,LOW,1,,3,,3,,3,,2,,1,,3,,2,,3,,3
40-50,,,Female,,,Teaching,,,Urban,,,6-10 years,,,35-40 hours,,,Yes,,,No,,,,,,,,27,HIGH,3,,1,,1,,2,,1,,1,,3,,2,,2,,1
30-40,,,Male,,,Teaching,,,Urban,,,3-5 years,,,35-40 hours,,,Yes,,,Yes,,,other,,,,,20,MODERATE ,3,,1,,2,,1,,1,,1,,3,,1,,2,,3
40-50,,,Male,,,Teaching,,,Urban,,,6-10 years,,,25-30 hours,,,Yes,,,No,,,,,,,,19,MODERATE ,1,,2,,1,,2,,1,,4,,3,,2,,1,,1
40-50,,,Male,,,Non- teaching,,,Urban,,,3-5 years,,,25-30 hours,,,No,,,No,,,,,,,,15,MODERATE ,3,,3,,3,,2,,3,,2,,3,,3,,4,,1
40-50,,,Male,,,Non- teaching,,,Rural,,,6-10 years,,,Less than 25 hours,,,No,,,No,,,,,,,,20,MODERATE ,1,,2,,2,,1,,2,,1,,3,,1,,2,,1
30-40,,,Male,,,Non- teaching,,,Urban,,,3-5 years,,,25-30 hours,,,No,,,No,,,,,,,,17,MODERATE ,3,,3,,3,,2,,1,,2,,3,,1,,3,,1
40-50,,,Female,,,Non- teaching,,,Urban,,,6-10 years,,,25-30 hours,,,No,,,No,,,,,,,,17,MODERATE ,1,,1,,2,,2,,1,,2,,2,,1,,3,,3
30-40,,,Female,,,Non- teaching,,,Rural,,,3-5 years,,,35-40 hours,,,No,,,No,,,,,,,,17,MODERATE ,3,,2,,3,,1,,1,,1,,2,,1,,3,,3
30-40,,,Female,,,Non- teaching,,,Urban,,,3-5 years,,,Less than 25 hours,,,No,,,No,,,,,,,,16,MODERATE ,3,,1,,2,,3,,1,,1,,3,,2,,1,,3
40-50,,,Male,,,Non- teaching,,,Urban,,,more than 10 years,,,30 -35 hours,,,Yes,,,Yes,,,other,,,,,13,LOW,,,2,,1,,3,,2,,3,,1,,3,,1,,3
40-50,,,Male,,,Non- teaching,,,Urban,,,more than 10 years,,,More than 40 hours,,,No,,,Yes,,,Walking,,,,,18,MODERATE ,3,,4,,1,,3,,2,,3,,1,,3,,2,,1
more than 50,,,Male,,,Teaching,,,Urban,,,more than 10 years,,,More than 40 hours,,,Yes,,,Yes,,,Walking,,,,,21,MODERATE ,4,,0,,0,,4,,3,,2,,3,,2,,3,,0
30-40,,,Female,,,Non- teaching,,,Rural,,,3-5 years,,,More than 40 hours,,,No,,,No,,,,,,,,17,MODERATE ,3,,1,,4,,2,,2,,2,,1,,1,,3,,2
more than 50,,,Male,,,Non- teaching,,,Urban,,,more than 10 years,,,More than 40 hours,,,no,,,Yes,,,Walking,,,,,15,MODERATE ,0,,0,,1,,4,,4,,3,,3,,3,,2,,1
more than 50,,,Male,,,Teaching,,,Urban,,,more than 10 years,,,More than 40 hours,,,Yes,,,Yes,,,Walking,,,,,16,MODERATE ,2,,2,,2,,4,,3,,2,,2,,2,,3,,2
40-50,,,female ,,,Teaching,,,Rural,,,more than 10 years,,,35-40 years ,,,yes ,,,yes,,,,,,,,20,MODERATE ,4,,2,,2,,1,,1,,3,,3,,2,,3,,4
30-40,,,male ,,,Non- teaching,,,Rural,,,6-5 years ,,,30-35 hours ,,,no ,,,no,,,,,,,,12,LOW,4,,4,,4,,3,,2,,3,,2,,3,,3,,3
more than 50,,,Male,,,Non- teaching,,,Urban,,,more than 10 years,,,More than 40 hours,,,Yes,,,Yes,,,Walking,,,,,8,LOW,4,,4,,4,,3,,2,,3,,2,,3,,3,,3
40-50,,,Female,,,Teaching,,,Urban,,,more than 10 years,,,More than 40 hours,,,Yes,,,Yes,,,Yoga,,,,,20,MODERATE ,2,,2,,1,,4,,4,,0,,3,,4,,1,,0
more than 50,,,Female,,,Non- teaching,,,Urban,,,6-10 years,,,More than 40 hours,,,No,,,Yes,,,Team sports,,,,,19,MODERATE ,2,,2,,3,,3,,2,,2,,2,,2,,3,,2
more than 50,,,Male,,,Non- teaching,,,Urban,,,more than 10 years,,,More than 40 hours,,,No,,,Yes,,,Walking,,,,,28,HIGH,0,,1,,0,,4,,3,,0,,4,,4,,1,,2
40-50,,,Male,,,Non- teaching,,,Urban,,,6-10 years,,,More than 40 hours,,,No,,,Yes,,,Team sports,,,,,12,LOW,2,,1,,1,,3,,3,,1,,3,,2,,2,,1
Less than 30,,,Male,,,Non- teaching,,,Urban,,,3-5 years,,,More than 40 hours,,,No,,,Yes,,,other,,,,,16,MODERATE ,4,,2,,2,,3,,2,,2,,1,,2,,0,,1
40-50,,,Male,,,Non- teaching,,,Urban,,,more than 10 years,,,30 -35 hours,,,Yes,,,Yes,,,Team sports,,,,,15,MODERATE ,2,,2,,2,,2,,0,,1,,2,,2,,2,,2
40-50,,,Male,,,Non- teaching,,,Urban,,,6-10 years,,,More than 40 hours,,,No,,,No,,,,,,,,27,HIGH,1,,2,,1,,2,,2,,2,,3,,2,,3,,2
40-50,,,Male,,,Non- teaching,,,Rural,,,more than 10 years,,,More than 40 hours,,,No,,,Yes,,,Team sports,,,,,15,MODERATE ,2,,0,,2,,2,,3,,2,,2,,3,,0,,1
40-50,,,Male,,,Non- teaching,,,Urban,,,more than 10 years,,,More than 40 hours,,,No,,,Yes,,,Walking,,,,,18,MODERATE ,3,,1,,3,,0,,1,,3,,0,,2,,3,,1
30-40,,,Male,,,Non- teaching,,,Urban,,,more than 10 years,,,More than 40 hours,,,Yes,,,Yes,,,Walking;Team sports,,,,,21,MODERATE ,1,,2,,1,,2,,3,,1,,2,,2,,2,,1
30-40,,,Male,,,Non- teaching,,,Rural,,,3-5 years,,,More than 40 hours,,,No,,,Yes,,,Walking,,,,,19,MODERATE ,1,,1,,2,,3,,2,,1,,2,,1,,2,,1
40-50,,,Male,,,Non- teaching,,,Urban,,,more than 10 years,,,30 -35 hours,,,No,,,Yes,,,Walking;Running,,,,,13,LOW,1,,1,,2,,4,,3,,1,,3,,2,,2,,1
40-50,,,Female,,,Non- teaching,,,Rural,,,more than 10 years,,,More than 40 hours,,,No,,,No,,,,,,,,5,LOW,2,,3,,3,,1,,0,,4,,2,,3,,3,,3
30-40,,,Male,,,Non- teaching,,,Rural,,,6-10 years,,,35-40 hours,,,No,,,No,,,,,,,,21,MODERATE ,2,,3,,1,,3,,2,,3,,1,,4,,1,,3
40-50,,,Female,,,Non- teaching,,,Urban,,,6-10 years,,,More than 40 hours,,,No,,,No,,,,,,,,21,MODERATE ,2,,3,,1,,3,,2,,3,,4,,0,,1,,3
40-50,,,Male,,,Non- teaching,,,Urban,,,6-10 years,,,More than 40 hours,,,No,,,Yes,,,Walking;Gym workouts,,,,,27,HIGH,1,,2,,1,,3,,2,,1,,4,,3,,2,,
30-40,,,Female,,,Teaching,,,Urban,,,3-5 years,,,35-40 hours,,,Yes,,,Yes,,,Walking;Team sports,,,,,9,LOW,2,,1,,3,,1,,2,,2,,3,,2,,3,,4
30-40,,,Male,,,Teaching,,,Rural,,,3-5 years,,,35-40 hours,,,No,,,Yes,,,Running;Gym workouts,,,,,25,MODERATE ,1,,3,,2,,4,,1,,3,,1,,3,,2,,3
40-50,,,Female,,,Teaching,,,Urban,,,more than 10 years,,,More than 40 hours,,,Yes,,,No,,,,,,,,17,MODERATE ,3,,2,,3,,1,,1,,3,,2,,1,,3,,3
40-50,,,Male,,,Teaching,,,Rural,,,6-10 years,,,35-40 hours,,,Yes,,,Yes,,,Walking;Team sports,,,,,18,MODERATE ,2,,1,,3,,1,,3,,1,,2,,3,,1,,2
40-50,,,Female,,,Teaching,,,Urban,,,6-10 years,,,35-40 hours,,,Yes,,,Yes,,,Yoga,,,,,27,HIGH,2,,1,,3,,1,,2,,1,,2,,3,,1,,2
Less than 30,,,Male,,,Teaching,,,Rural,,,3-5 years,,,30 -35 hours,,,Yes,,,Yes,,,Gym workouts,,,,,22,MODERATE ,1,,2,,1,,1,,2,,1,,2,,1,,2,,2
30-40,,,Female,,,Teaching,,,Urban,,,3-5 years,,,35-40 hours,,,Yes,,,Yes,,,Gym workouts;Team sports,,,,,24,MODERATE ,1,,2,,0,,1,,1,,2,,4,,0,,3,,2
40-50,,,Female,,,Teaching,,,Urban,,,3-5 years,,,35-40 hours,,,Yes,,,Yes,,,Walking;Running;Yoga,,,,,18,MODERATE ,1,,3,,1,,2,,3,,1,,2,,1,,2,,1
40-50,,,Female,,,Teaching,,,Urban,,,6-10 years,,,35-40 hours,,,Yes,,,Yes,,,Running;Team sports,,,,,28,HIGH,4,,4,,1,,2,,2,,3,,2,,0,,2,,4
40-50,,,Female,,,Teaching,,,Rural,,,6-10 years,,,30 -35 hours,,,No,,,Yes,,,Gym workouts,,,,,14,MODERATE ,1,,0,,2,,3,,1,,0,,2,,0,,3,,3
more than 50,,,Female,,,Teaching,,,Rural,,,more than 10 years,,,More than 40 hours,,,Yes,,,Yes,,,Walking,,,,,21,MODERATE ,2,,1,,0,,4,,4,,4,,4,,4,,0,,0
30-40,,,Male,,,Teaching,,,Rural,,,3-5 years,,,25-30 hours,,,Yes,,,Yes,,,Gym workouts;Team sports,,,,,15,MODERATE ,0,,1,,1,,0,,2,,1,,0,,3,,1,,2
30-40,,,Male,,,Teaching,,,Urban,,,more than 10 years,,,More than 40 hours,,,Yes,,,Yes,,,Yoga,,,,,19,MODERATE ,0,,0,,0,,4,,4,,1,,0,,2,,1,,1
30-40,,,Female,,,Teaching,,,Urban,,,6-10 years,,,35-40 hours,,,Yes,,,Yes,,,Walking,,,,,18,MODERATE ,3,,1,,2,,1,,3,,4,,3,,1,,2,,3
more than 50,,,Male,,,Teaching,,,Urban,,,more than 10 years,,,35-40 hours,,,Yes,,,Yes,,,Team sports,,,,,20,MODERATE ,2,,1,,3,,0,,2,,4,,1,,3,,2,,1
30-40,,,male ,,,Non- teaching,,,urban ,,,3-5 years ,,,35-40 hours ,,,yes ,,,yes,,,,,,,,29,HIGH,,,,,,,,,,,,,,,,,,,
40-50,,,Female,,,Non- teaching,,,Rural,,,3-5 years,,,35-40 hours,,,No,,,No,,,,,,,,15,MODERATE ,,,,,,,,,,,,,,,,,,,
40-50,,,Female,,,Non- teaching,,,Rural,,,3-5 years,,,Less than 25 hours,,,Yes,,,No,,,,,,,,11,LOW,3,,2,,1,,2,,1,,3,,1,,3,,2,,1
40-50,,,Female,,,Teaching,,,Urban,,,6-10 years,,,25-30 hours,,,Yes,,,No,,,,,,,,21,MODERATE ,2,,2,,3,,1,,2,,1,,1,,2,,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,low ,moderate ,high,,,,,,,,,,,,,,,,,,,,
,,,,,PSS RATING ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,NON TEACHING STAFF ,,PSS SCORE ,stress level ,,,,,,,low ,12,,yes ,,,,,,,,,,,,,,,,,,,,,,,
,,,TEACHING STAFF ,age ,gender ,PSS SCORE ,stress level ,,,,,,,,,,,,,,,,moderate ,49,,no ,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,23,MODERATE ,,,,,1,,,8,LOW,,,,,,,high,9,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,22,MODERATE ,,,,,2,,,20,MODERATE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,9,LOW,,,,,3,,,19,MODERATE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,18,MODERATE ,,,,,4,,,28,HIGH,,,LOW,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,7,LOW,,,,,5,,,12,LOW,,,MODERATE,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,19,MODERATE ,,,,,6,,,16,MODERATE ,,,HIGH,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,28,HIGH,,,,,7,,,15,MODERATE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,17,MODERATE ,,,,,8,,,27,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,20,MODERATE ,,,,,9,,,15,MODERATE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,19,MODERATE ,,,,,10,,,18,MODERATE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,18,MODERATE ,,,,,11,,,21,MODERATE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,17,MODERATE ,,,,,12,,,19,MODERATE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,,,,28,HIGH,,,,,13,,,13,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,,,,22,MODERATE ,,,,,14,,,5,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,,,,23,MODERATE ,,,,,15,,,21,MODERATE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,,,,13,LOW,,,,,16,,,21,MODERATE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17,,,,8,LOW,,,,,17,,,27,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,,,,27,HIGH,,,,,18,,,9,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19,,,,20,MODERATE ,,,,,19,,,25,MODERATE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20,,,,19,MODERATE ,,,,,20,,,17,MODERATE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21,,,,15,MODERATE ,,,,,21,,,18,MODERATE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22,,,,20,MODERATE ,,,,,22,,,27,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23,,,,17,MODERATE ,,,,,23,,,22,MODERATE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24,,,,17,MODERATE ,,,,,24,,,24,MODERATE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25,,,,17,MODERATE ,,,,,25,,,18,MODERATE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26,,,,16,MODERATE ,,,,,26,,,28,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27,,,,13,LOW,,,,,27,,,14,MODERATE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,28,,,,18,MODERATE ,,,,,28,,,21,MODERATE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29,,,,21,MODERATE ,,,,,29,,,15,MODERATE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30,,,,17,MODERATE ,,,,,30,,,19,MODERATE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31,,,,15,MODERATE ,,,,,31,,,18,MODERATE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32,,,,16,MODERATE ,,,,,32,,,20,MODERATE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33,,,,20,MODERATE ,,,,,33,,,29,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34,,,,12,LOW,,,,,34,,,15,MODERATE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35,,,,,,,,,,35,,,11,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,36,,,,,,,,,,36,,,21,MODERATE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LOW,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MODERATE,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HIGH,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
